chinese_name,english_name
澳门大学,University of Macau
澳门理工大学,Macao Polytechnic University
澳门旅游大学,Macao University of Tourism
澳门保安部队高等学校,Academy of Public Security Forces
澳门科技大学,Macau University of Science and Technology
澳门城市大学,City University of Macau
圣若瑟大学,University of Saint Joseph
澳门镜湖护理学院,Kiang Wu Nursing College of Macau
澳门管理学院,Macau Institute of Management
中西创新学院,Macau Millennium College
澳门欧洲研究学会,Institute of European Studies of Macau
联合国大学国际软件技术研究所,United Nations University Institute in Macao
澳门圣经学院,Macau Bible Institute
