chinese_name,english_name
KUEPA学院,KUEPA Institute
TecMilenio大学,Tecmilenio University
UDLAP詹金斯学院,UDLAP Jenkins Graduate School
下加利福尼亚大学学习中心,University Studies Center of Baja California
下加利福尼亚自治大学,Autonomous University of Baja California
企业管理高等学院,Institute of Higher Studies in Business Management
伊比利亚美洲国际大学,International Iberoamerican University
伊比利亚美洲大学,Ibero-American University  Mexico City
光学研究中心,Center for Research in Optics
克雷塔罗自治大学,Autonomous University of Querétaro
北美高等学院,Institute of Higher Studies of North America
国立理工学院,National Polytechnic Institute
国立理工学院高级研究中心,Center for Research and Advanced Studies of the National Polytechnic Institute
圣尼古拉斯伊达尔戈米却肯大学,Michoacan University of Saint Nicholas of Hidalgo
圣路易斯波托西自治大学,Autonomous University of San Luis Potosí
埃卡提佩高等技术学院,Technological Institute of Higher Studies of Ecatepec
墨西哥国立自治大学,National Autonomous University of Mexico
墨西哥州立自治大学,Autonomous University of the State of Mexico
墨西哥巴耶大学,University of the Valley of Mexico
墨西哥巴耶理工大学,Polytechnic University of the Valley of Mexico
墨西哥自治技术学院,Autonomous Technological Institute of Mexico
尤卡坦自治大学,Autonomous University of Yucatán
巴希奥拉萨尔大学,La Salle Bajío University
拉美大学,Latin American University
拉萨尔大学,La Salle University
新莱昂州自治大学,Autonomous University of Nuevo León
普埃布拉州人民自治大学,Popular Autonomous University of the State of Puebla
普埃布拉美洲大学,University of the Americas Puebla
普埃布拉美洲大学基金会,University of the Americas Puebla Foundation
普埃布拉自治大学,Meritorious Autonomous University of Puebla
法律研究生学习中心,Center for Postgraduate Studies in Law
泛美大学,Panamerican University
洲际大学,Intercontinental University
瓜纳华托大学,University of Guanajuato
瓜达拉哈拉大学,University of Guadalajara
瓦哈卡州贝尼托·胡亚雷斯自治大学,Autonomous University 'Benito Juárez' of Oaxaca
科利马大学,University of Colima
维拉克鲁斯大学,Veracruzana University
美洲大学,University of the Americas  A.C.
胡亚雷斯城自治大学,Autonomous University of Ciudad Juárez
蒙特雷大学,University of Monterrey
蒙特雷高等技术学院,Monterrey Institute of Technology and Higher Education
西部高等技术学院,ITESO  the Jesuit University of Guadalajara
都会自治大学,Metropolitan Autonomous University
银行与贸易学院,Banking and Commercial School
锡那罗亚自治大学,Autonomous University of Sinaloa
阿泰马哈克山谷大学,University of the Valley of Atemajac
阿瓜斯卡连特斯自治大学,Autonomous University of Aguascalientes
高级技术学院,Institute of Advanced Technology
