chinese_name,english_name,website,province,city
国家教育学院,National Institute of Education,,,
贾夫纳大学,University of Jaffna,,,
凯拉尼亚大学,University of Kelaniya,,,
康育大学,KIU,,,
科伦坡大学,University of Colombo,,,
莫勒图沃大学,University of Moratuwa,,,
佩拉德尼亚大学,University of Peradeniya,,,
斯里兰卡佛教与巴利大学,Buddhist and Pali University of Sri Lanka,,,
斯里兰卡开放大学,The Open University of Sri Lanka,,,
斯里贾亚瓦德纳普拉大学,University of Sri Jayewardenepura,,,
萨巴拉加穆瓦大学,Sabaragamuwa University,,,
约翰科特罗瓦将军国防大学,General Sir John Kotelawala Defence University,,,
